gene,DE_rank,GF_rank,GF_attention,func_log2FC,func_gates_up,surface,surface_evidence,pathways,in_consensus,in_GBM,in_melanoma,GF_unique,priority_score
SCNN1B,,20.0,2.43,0.002,2/3,True,"extracellular exosome, plasma membrane",,False,False,False,True,3.3
MAGEA3,,7.0,2.992,0.477,3/3,False,,,False,False,False,True,3.06
SLC34A2,,39.0,2.233,0.84,2/3,True,plasma membrane,,False,False,False,True,3.0
LY6K,,25.0,2.401,-0.116,1/3,True,"extracellular space, membrane raft, plasma membrane",,False,False,False,True,3.0
TOX3,,16.0,2.458,0.896,3/3,False,,,False,False,False,True,2.94
EFS,,27.0,2.377,-0.16,1/3,True,plasma membrane,,False,False,False,True,2.88
RAB4B,,28.0,2.321,-0.409,0/2,True,plasma membrane,,False,False,False,True,2.82
B2M,23.0,171.0,1.646,0.275,2/3,True,"cell surface, extracellular exosome, extracellular space, plasma membrane",,True,False,False,False,2.78
TFCP2L1,881.0,8.0,2.964,0.19,1/3,False,,,False,False,False,True,2.71
HLA-E,27.0,47.0,2.175,-0.081,1/3,True,"cell surface, extracellular exosome, extracellular space, plasma membrane",,True,False,False,False,2.68
MAGEA12,,17.0,2.452,0.65,2/3,False,,,False,False,False,True,2.63
EEF1A1,20.0,48.0,2.174,-0.011,2/3,True,"extracellular exosome, extracellular space, plasma membrane",,True,False,False,False,2.62
ANXA1,21.0,1046.0,1.004,0.61,3/3,False,,,False,True,True,False,2.61
SERBP1,39.0,108.0,1.803,-0.573,1/3,True,extracellular exosome,,True,False,False,False,2.5
ATXN7,,13.0,2.61,0.232,3/3,False,,,False,False,False,True,2.45
ITGA6,37.0,227.0,1.547,1.41,3/4,False,,,False,False,False,False,2.41
CAPN6,,10.0,2.809,-0.089,1/3,False,,,False,False,False,True,2.4
HYCC1,,35.0,2.25,,,True,plasma membrane,,False,False,False,True,2.4
PHLDA1,36.0,3359.0,0.739,1.257,2/3,False,,,False,False,False,False,2.26
IRX5,,24.0,2.403,0.685,2/3,False,,,False,False,False,True,2.24
HMGA1,63.0,136.0,1.741,0.214,2/3,False,,Pluripotency,True,False,False,False,2.21
ID1,237.0,30.0,2.295,-0.662,1/3,False,,BMP/TGFβ,False,False,False,True,2.2
HUWE1,,44.0,2.191,0.306,3/3,True,"extracellular exosome, extracellular space",,False,False,False,True,2.17
HOXA4,,15.0,2.484,-0.051,2/3,False,,,False,False,False,True,2.1
TIMP3,32.0,1782.0,0.862,1.07,3/3,False,,,False,False,False,False,2.07
LRIG3,2377.0,49.0,2.143,0.497,2/3,True,"extracellular space, plasma membrane",,False,False,False,True,2.06
VEPH1,1622.0,41.0,2.209,-0.383,1/3,True,plasma membrane,,False,False,False,True,2.04
ZC3H11A,,19.0,2.432,0.166,2/3,False,,,False,False,False,True,2.03
CAV1,16.0,499.0,1.247,-1.955,1/3,False,,,False,True,True,False,2.0
ID3,134.0,51.0,2.142,-0.375,1/3,False,,Wnt; BMP/TGFβ,True,False,False,False,2.0
STC2,,42.0,2.2,-1.301,2/3,True,extracellular space,,False,False,False,True,1.98
ANGPT1,2846.0,43.0,2.193,-0.899,1/4,True,"extracellular exosome, extracellular matrix, extracellular space, membrane raft, plasma membrane",,False,False,False,True,1.92
FAM3C,35.0,6537.0,0.634,0.342,3/3,False,,,False,False,True,False,1.84
TBX1,,23.0,2.406,0.153,2/3,False,,,False,False,False,True,1.77
PTRF,33.0,,,0.264,2/2,False,,,False,False,True,False,1.76
TMEM255B,,32.0,2.268,0.642,1/1,False,,,False,False,False,True,1.72
MFGE8,30.0,219.0,1.555,0.177,2/3,False,,,False,False,True,False,1.68
HLA-A,25.0,246.0,1.522,0.143,2/3,False,,,False,True,False,False,1.64
HLA-B,15.0,749.0,1.114,0.129,3/3,False,,,False,True,False,False,1.63
CPXM2,,87.0,1.896,,,True,extracellular space,,False,False,False,False,1.5
CAV2,31.0,1531.0,0.9,-0.848,2/3,False,,,False,False,True,False,1.5
LRRC3C,,77.0,1.959,,,True,plasma membrane,,False,False,False,False,1.5
IFNAR2,587.0,75.0,1.969,,,True,"extracellular space, plasma membrane",,False,False,False,False,1.5
STK26,2160.0,85.0,1.914,,,True,extracellular exosome,,False,False,False,False,1.5
SPARC,336.0,81.0,1.947,,,True,"cell surface, extracellular matrix, extracellular space, plasma membrane",,False,False,False,False,1.5
TSPAN12,,82.0,1.935,,,True,plasma membrane,,False,False,False,False,1.5
PARVG,,83.0,1.928,,,True,plasma membrane,,False,False,False,False,1.5
SBSPON,1527.0,76.0,1.967,,,True,extracellular matrix,,False,False,False,False,1.5
INHBB,,84.0,1.926,,,True,extracellular space,,False,False,False,False,1.5
ITM2C,687.0,53.0,2.12,,,True,"extracellular exosome, plasma membrane",,False,False,False,False,1.5
