gene_symbol,lr_coef,lr_abs
CCDC150,-0.007435845,0.007435845
ANO6,-0.007438029,0.007438029
RAET1E,-0.007438064,0.007438064
EPC2,-0.00743858,0.00743858
GALNT11,-0.0074391467,0.0074391467
PFKM,-0.0074395407,0.0074395407
RP5-821D11.7,-0.0074432828,0.0074432828
RP11-124N19.3,-0.007443579,0.007443579
FCAMR,-0.007443579,0.007443579
AP000462.2,-0.007444393,0.007444393
ACSL3,-0.007446414,0.007446414
ZNF652,-0.0074505373,0.0074505373
LINC01342,-0.0074527846,0.0074527846
USP25,-0.007453108,0.007453108
ADIPOR2,-0.007454049,0.007454049
UBR5-AS1,-0.0074607925,0.0074607925
FAM103A1,-0.00746111,0.00746111
GTF3C6,-0.007461521,0.007461521
WDR87,-0.007462042,0.007462042
RP11-141J13.3,-0.0074625476,0.0074625476
MYL12B,-0.0074631055,0.0074631055
LSS,-0.0074632354,0.0074632354
NMI,-0.007465923,0.007465923
DAP,-0.007467954,0.007467954
ZNF20,-0.0074721314,0.0074721314
HDAC9,-0.007472152,0.007472152
GABPA,-0.0074724955,0.0074724955
NIPA1,-0.007477805,0.007477805
C19orf47,-0.0074784164,0.0074784164
ZDHHC20,-0.00748182,0.00748182
ANKDD1A,-0.0074824323,0.0074824323
UGGT2,-0.0074867527,0.0074867527
STK36,-0.007494385,0.007494385
ZNF775,-0.007494406,0.007494406
C1QTNF4,-0.007495578,0.007495578
PPEF1-AS1,-0.0074999696,0.0074999696
MAGEA9B,-0.0075000767,0.0075000767
GPR1,-0.0075006904,0.0075006904
PKD2,-0.0075025256,0.0075025256
LINC01266,-0.007504654,0.007504654
METTL14,-0.0075049847,0.0075049847
TRPM2-AS,-0.0075059007,0.0075059007
PPP3CA,-0.007507906,0.007507906
C1QTNF7,-0.007507907,0.007507907
LINC01271,-0.0075088735,0.0075088735
ZNF395,-0.007509086,0.007509086
ANP32A,-0.007510152,0.007510152
AC096649.3,-0.00751077,0.00751077
RP4-706G24.1,-0.00751077,0.00751077
DPPA4,-0.00751077,0.00751077
LINC01562,-0.0075115925,0.0075115925
CDK16,-0.007511627,0.007511627
CH507-254M2.1,-0.0075155883,0.0075155883
FAM106A,-0.0075161657,0.0075161657
MLX,-0.007521708,0.007521708
CACUL1,-0.007523001,0.007523001
NEU3,-0.0075231353,0.0075231353
ADAT1,-0.007525251,0.007525251
S100A7A,-0.0075256284,0.0075256284
AC145343.2,-0.007527565,0.007527565
ARL3,-0.007529912,0.007529912
RP11-455O6.9,-0.0075323856,0.0075323856
APBA3,-0.0075325724,0.0075325724
ST8SIA6-AS1,-0.007533435,0.007533435
ZNF268,-0.0075341472,0.0075341472
SCYL3,-0.007536365,0.007536365
ORM2,-0.007536812,0.007536812
RP11-61L19.2,-0.007538831,0.007538831
CHURC1,-0.007543031,0.007543031
C8orf37-AS1,-0.0075430647,0.0075430647
WDR6,-0.007544016,0.007544016
RP11-108L7.15,-0.007544499,0.007544499
AC008268.1,-0.0075459424,0.0075459424
ZFR,-0.0075486423,0.0075486423
LINC00589,-0.007549129,0.007549129
RP11-353N14.4,-0.0075494046,0.0075494046
GOLGA8R,-0.00755069,0.00755069
TMEM184A,-0.007551341,0.007551341
CWC25,-0.0075516114,0.0075516114
LINC00923,-0.007553458,0.007553458
PBK,-0.00755451,0.00755451
PPP1R27,-0.0075545604,0.0075545604
RANBP2,-0.0075564627,0.0075564627
RINL,-0.007556935,0.007556935
ASB6,-0.007560346,0.007560346
PAPOLB,-0.007561121,0.007561121
RANBP6,-0.007561214,0.007561214
C9orf163,-0.0075615104,0.0075615104
IL7R,-0.00756199,0.00756199
HTR6,-0.0075631053,0.0075631053
TMPO-AS1,-0.007565646,0.007565646
SAV1,-0.007566562,0.007566562
SRPK2,-0.0075683855,0.0075683855
MYD88,-0.007568404,0.007568404
GNB2,-0.0075691915,0.0075691915
MTHFD1L,-0.0075756772,0.0075756772
RP11-458D21.1,-0.0075762053,0.0075762053
MARK3,-0.0075771143,0.0075771143
C9orf173-AS1,-0.007577851,0.007577851
TTC14,-0.007578718,0.007578718
LIPT2,-0.007578903,0.007578903
CEP295,-0.007580841,0.007580841
RP11-700H6.1,-0.007583185,0.007583185
XIAP,-0.007583473,0.007583473
C16orf70,-0.007587126,0.007587126
ERCC6L,-0.007588129,0.007588129
DBNDD1,-0.0075893,0.0075893
KRT33A,-0.0075894296,0.0075894296
PIM1,-0.0075897183,0.0075897183
CTD-2024I7.13,-0.0075906897,0.0075906897
C17orf97,-0.0075949174,0.0075949174
RP11-618L22.1,-0.007596187,0.007596187
FER1L6-AS1,-0.0075969673,0.0075969673
SEPT1,-0.0075974995,0.0075974995
GOLGA6L9,-0.0075978828,0.0075978828
UNC93B1,-0.0076034428,0.0076034428
CTC-366B18.4,-0.007603752,0.007603752
CTD-2619J13.13,-0.007605047,0.007605047
RP11-544A12.8,-0.007607232,0.007607232
RAB3IL1,-0.007608434,0.007608434
MUS81,-0.007608903,0.007608903
NIT2,-0.007610316,0.007610316
EFR3A,-0.007611107,0.007611107
RP11-265N6.1,-0.0076117874,0.0076117874
FBXO22,-0.007614057,0.007614057
LINC00484,-0.0076176785,0.0076176785
KALRN,-0.007618768,0.007618768
SRP9,-0.0076216906,0.0076216906
C2orf54,-0.007623793,0.007623793
TMEM191B,-0.007624456,0.007624456
RP11-1109F11.5,-0.0076248003,0.0076248003
SFSWAP,-0.0076295533,0.0076295533
RP11-761I4.5,-0.0076357285,0.0076357285
LINC00519,-0.0076359655,0.0076359655
TBP,-0.007636103,0.007636103
CTA-217C2.2,-0.0076367236,0.0076367236
NDUFS2,-0.007639346,0.007639346
CPA4,-0.0076398943,0.0076398943
MT1A,-0.007640582,0.007640582
C2orf76,-0.0076425658,0.0076425658
RPS6KB2,-0.0076431665,0.0076431665
GORASP2,-0.0076438594,0.0076438594
BTBD19,-0.0076451967,0.0076451967
CMA1,-0.0076468177,0.0076468177
RP11-795F19.5,-0.0076471986,0.0076471986
RP11-353N14.1,-0.0076474342,0.0076474342
RP11-435O5.6,-0.0076484224,0.0076484224
