gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
PTRF,30.97816,3.868555,1.06131503191926e-210,5.173127843287763e-208
TAF1D,30.7786,1.5720267,5.067890595950295e-208,2.391803033164923e-205
FAM3C,30.688747,2.0834332,8.042686989939341e-207,3.736456441747913e-204
PHLDA1,30.444736,2.5164814,1.4063211877096878e-203,6.060021431039441e-201
ITGA6,30.430079,2.6051736,2.1982259140138008e-203,9.337121585910334e-201
TPM2,30.373236,3.3851314,1.2399283325626264e-202,5.1925055087443057e-200
SERBP1,30.086014,0.964595,7.384378482116349e-199,3.0494406306772976e-196
RPS2,30.0325,0.9305583,3.695729657792518e-198,1.5052757522622594e-195
PRNP,29.368715,2.5070152,1.3784999932088312e-189,5.188220290895971e-187
RPS19,29.343325,0.54521585,2.9072479088044043e-189,1.0805150259060169e-186
YBX3,29.216957,1.4876456,1.1810284776004182e-187,4.2823804542064924e-185
TRIP6,29.051561,1.6228204,1.4704684492217331e-185,5.0838881861290454e-183
PSMB9,28.830776,1.9640738,8.82684472442276e-183,2.98237016126434e-180
SERPINE2,28.750666,4.666991,8.885791573629458e-182,2.9355693428747185e-179
RPL10A,28.672384,0.61050177,8.433076381763905e-181,2.755391868780068e-178
RPL37A,28.647972,0.70728993,1.6990150951965937e-180,5.490958241900035e-178
SFRP1,28.600235,3.2087996,6.673694117508467e-180,2.1336445935040777e-177
C1S,28.53517,4.292911,4.291553347376168e-179,1.3431658492372169e-176
RARRES1,28.392902,3.2620463,2.474233429304731e-177,7.584163149847171e-175
KLF4,27.873531,2.034849,5.586782560217428e-171,1.644671345177671e-168
RPS18,27.77446,0.538694,8.828356443699288e-170,2.5734659033383425e-167
RPSA,27.769623,0.6417693,1.0099169588821368e-169,2.9153263047031623e-167
SPHK1,27.649483,3.6626427,2.831030308868967e-168,8.093752324384711e-166
CD74,27.497368,1.499054,1.887586136889517e-166,5.3451046293462864e-164
CALU,27.319063,1.2641081,2.5184254890415843e-164,6.93336528385865e-162
TAP1,27.261993,1.7930629,1.1979589844315219e-163,3.2677903196424257e-161
ZFP36L2,27.133898,1.0532937,3.922189029045331e-162,1.0601676945509529e-159
NFIB,27.031359,1.549015,6.327222957262504e-161,1.6948407224169914e-158
NFKBIA,26.970633,1.0257138,3.2679922273665765e-160,8.598868397901806e-158
NCL,26.90722,0.8760527,1.8079553424157586e-159,4.715432999653312e-157
HMGA1,26.905512,1.248531,1.8932047889468407e-159,4.89483982519621e-157
SVIL,26.753237,1.9759963,1.132194222680223e-157,2.8772248566624847e-155
SERPINH1,26.547493,1.5786912,2.7452154939135083e-155,6.690450186928716e-153
UPP1,26.515232,3.2156591,6.468830637777763e-155,1.5637214744150098e-152
FTL,26.405127,0.66984206,1.1964644951264324e-153,2.8459583066875372e-151
RPL7,26.369728,0.786401,3.0490083673511884e-153,7.194933792575626e-151
EPCAM,26.365726,0.9946675,3.388703195960537e-153,7.933567883897217e-151
PLAUR,26.264921,2.1101513,4.827932731573664e-152,1.1214759680303106e-149
RPLP2,26.208502,0.54436785,2.1259505991234596e-151,4.825258714789147e-149
HLA-DPA1,26.134485,3.0554361,1.4793538849142236e-150,3.332244625769289e-148
LMNA,26.063606,0.8788263,9.43267366556183e-150,2.1087344819409765e-147
RPS20,26.062502,1.1793498,9.708500222723431e-150,2.1542002770316105e-147
TUBB6,26.03651,3.6735792,1.9125836156489655e-149,4.212359158821533e-147
CDK6,25.948545,2.9170382,1.8883672762093384e-148,4.098308337484106e-146
HLA-DRA,25.730587,2.4675014,5.3169019616227566e-146,1.1291960430352103e-143
FN1,25.563066,3.6000984,3.929857024279919e-144,8.114336034924642e-142
GSTP1,25.55746,0.9986725,4.5362544168526175e-144,9.301824315605441e-142
SOD2,25.418825,1.3578819,1.5619540391564977e-142,3.1168845265932986e-140
HLA-DPB1,25.398695,3.2251062,2.6069787132639042e-142,5.167553205431711e-140
DDX21,25.387714,1.0756322,3.446876155284128e-142,6.787150246692913e-140
RCN1,25.352684,1.3364407,8.39419024724678e-142,1.631270971381624e-139
UBA52,25.217648,0.58519834,2.565453958531814e-140,4.88965657365554e-138
RPL22L1,25.146059,1.1633581,1.5607016758368882e-139,2.9002714329786374e-137
CRYAB,25.032934,3.0856247,2.678513896875744e-138,4.885905134712054e-136
ANKRD11,24.8745,1.5537177,1.4048441795259634e-136,2.51627903553286e-134
KCNN4,24.86377,3.0401585,1.835316966780843e-136,3.2676334954068746e-134
EIF3A,24.729618,0.9134769,5.137537726757018e-135,8.93300638769979e-133
RPL27A,24.6129,0.8625784,9.191462277505538e-134,1.5616557022689839e-131
RPL13A,24.563925,0.8455687,3.0706824435067237e-133,5.129247252403675e-131
OPTN,24.53276,1.4664471,6.607434530386848e-133,1.0975354798435317e-130
MAP1B,24.48789,3.8628662,1.988175067062773e-132,3.2841338482765237e-130
SSPN,24.440647,2.231745,6.327395472021955e-132,1.0394057987272309e-129
UGP2,24.35921,1.3757218,4.630720000203813e-131,7.523781298691803e-129
NOB1,24.358591,1.5980507,4.701142840467195e-131,7.596689134544083e-129
