PATIENT_ID,Consensus_16,Stage1_DE_top50,Stage2_Geneformer_top50
MB-0306,0.8731674954638369,0.923335427665609,0.2810579481523436
MB-0307,0.8064743995906721,0.9362131794566655,0.18448159374592646
MB-0308,0.8194659685182978,0.8911711156309206,0.27778781082617954
MB-0309,0.8450693799902929,0.8741137047316032,0.2739654489535008
MB-0310,0.8145455325741832,0.9126125225144031,0.23427022330004224
MB-0311,0.8018707348814388,0.8580537280318375,0.3182815645929278
MB-0312,0.8226087119830489,0.869832382896436,0.251670268537451
MB-0313,0.7789981848828937,0.8452594783216069,0.23767992785717929
MB-0314,0.8163420570658416,0.8827813310770624,0.2450941394915963
MB-0315,0.7903718197217604,0.9111114169229951,0.21539217592835083
MB-0316,0.8361534966196358,0.9401731589186307,0.32547416421657127
MB-0317,0.7629108090907123,0.8777362900219836,0.24942796819920446
MB-0318,0.8406808058019779,0.9617976577855412,0.3920188915984603
MB-0319,0.8104758409976616,0.8419190403304149,0.1913884497333342
MB-0320,0.7642124836871039,0.9057080194213383,0.2636396548500775
MB-0321,0.6728145212526274,0.6973344115262096,0.19645582011384913
MB-0322,0.7779418843849684,0.8127805062107951,0.22504053701183752
MB-0324,0.7505044640727953,0.8532031171575885,0.24640935074476386
MB-0325,0.7563197125652485,0.8345221001050177,0.20057696437928593
MB-0327,0.8040724239092575,0.836534180076823,0.28233123170820135
MB-0328,0.7912709688759887,0.8516365554695063,0.28636150204141797
MB-0333,0.7578710333915308,0.9451150259590082,0.22349445314863656
MB-0336,0.7841672271852362,0.8548177994063588,0.21854295891509298
MB-0339,0.7376507479829678,0.8552497937647163,0.17356608222962228
MB-0340,0.7759986580820757,0.8688751936558116,0.1750638556983931
MB-0341,0.8235088577838495,0.9303254136442145,0.27315388436623766
MB-0342,0.8008639457015562,0.954506640254963,0.2993106694098672
MB-0343,0.8205817325926825,0.9223734183343817,0.3335132904843633
MB-0344,0.8427500107271343,0.9281394913236585,0.3251087648080113
MB-0345,0.823428909402136,0.9226062148666255,0.27134777541782695
MB-0346,0.7449675391908522,0.8048854016916295,0.18615910443059652
MB-0347,0.8264881483224524,0.9013258468852565,0.17763639249452995
MB-0348,0.776592161413325,0.8159291790468433,0.2269302720631113
MB-0349,0.7840082426061983,0.842609372337325,0.24781244277982256
MB-0350,0.859470077205827,0.9473629008173063,0.31681685165978296
MB-0351,0.7393875844226349,0.8398536118283592,0.23130671489547636
MB-0352,0.8687646335101668,0.9036058132472699,0.2703386299080493
MB-0353,0.6974485766083595,0.8428326290025958,0.18546541766763192
MB-0354,0.8197291366929147,0.9177128186851804,0.2213522962209914
MB-0356,0.8187655032694777,0.8826055117568431,0.2698603867962605
MB-0358,0.8504418507574619,0.9285848798196337,0.2999423345542109
MB-0359,0.8297890149500629,0.8833014097256061,0.2910635681862354
MB-0360,0.7676658688022778,0.8355515927936917,0.22460419610199583
MB-0361,0.8470533296331221,0.9005116698408346,0.23198771399681362
MB-0362,0.8076480327953172,0.8708828854770841,0.23486060393642053
MB-0363,0.8273715032690534,0.8861374072771068,0.21185156363128485
MB-0364,0.8397536570974531,0.9085063239453041,0.2588744449405667
MB-0365,0.8416426462997654,0.9151659262540516,0.235895198165475
MB-0366,0.8484692055451328,0.8554017564030174,0.29240757532620487
MB-0367,0.8298142916781158,0.9145881806680451,0.2229465968396423
MB-0368,0.7191344362448808,0.7874082359792934,0.19313540586291267
MB-0369,0.7296025178006299,0.7855499973929944,0.2588174865178121
MB-0370,0.7791305450899016,0.8400636919623815,0.28135702443434274
MB-0371,0.8446068265731099,0.9183023782354761,0.28861919057721486
MB-0372,0.8358005994698171,0.9321363096870607,0.220501487300736
MB-0373,0.7913890751985748,0.9021108211539748,0.2248719988441191
MB-0374,0.821187783682964,0.882005237498767,0.28630811865983985
MB-0375,0.8775409471240541,0.9817634940734533,0.3320541704749279
MB-0377,0.8548295342451964,0.9468697500632389,0.3241110498632302
MB-0378,0.9178951040795092,0.8954794379082384,0.3711671664153966
MB-0379,0.8504637510561049,0.9093173621806383,0.25213082788026353
MB-0380,0.7693157723535203,0.8506459399695876,0.2015418684622885
MB-0381,0.8299139750574317,0.8712305335392941,0.2617062007673249
MB-0382,0.8370573804777351,0.9270939576750572,0.23742067470614017
MB-0383,0.8470453344774916,0.9140019953412084,0.2787982286795808
MB-0384,0.8467214319114629,0.9021439728663974,0.28061158920424084
MB-0385,0.7239823231885584,0.8788253131994409,0.18741261554985816
MB-0386,0.7747951711906411,0.9116514951920636,0.27166054932850603
MB-0388,0.7579804590434237,0.9252085052132808,0.20950450477279814
MB-0389,0.8088668373932473,0.894409820686635,0.22337181534238013
MB-0390,0.8458968935118009,0.9237623361450676,0.2543349625322354
MB-0391,0.8474570810671174,0.9180988578944298,0.21954934649628202
MB-0392,0.8679761391311288,0.951583627723858,0.3361300041136086
MB-0393,0.8389751003530697,0.9153837829461945,0.28506148604963755
MB-0394,0.8073611119514739,0.8986780610512042,0.2908405643724859
MB-0395,0.8282738214902579,0.866370670990707,0.32139675607569557
MB-0396,0.847349468509162,0.9261168438045911,0.2992456078154005
MB-0397,0.8757649183016838,0.9352304415104703,0.27080525020320884
MB-0398,0.8268606828101226,0.8693111491266161,0.2799228106781039
MB-0399,0.799410870785515,0.8774129033346326,0.25853573163865373
MB-0400,0.884290005569156,0.947184720942875,0.2851199324598872
MB-0401,0.8423784998030632,0.95732862855358,0.3123956205128649
