gene,spearman_r,pval
CPVL,0.08162460002934611,1.7688443999083463e-37
MFGE8,0.08171086295177923,1.4852989336538267e-37
IL18,0.08197021521236945,8.774198674628392e-38
THBS1,0.08209177234869479,6.851899591447697e-38
C11orf86,0.08225565639111537,4.906435164095737e-38
WFDC12,0.08261097677949172,2.372989079628768e-38
MED1,0.08429245860988355,7.3098477593092085e-40
UGT2B11,0.08445052562928439,5.251224697313782e-40
ALPP,0.08447320959515214,5.007532478150007e-40
MFAP5,0.08452085077469812,4.531728906259042e-40
CXCL10,0.08487643756728687,2.14712608869098e-40
MGST1,0.08489581332309677,2.061301588542192e-40
IGLV2-18,0.0850317193192618,1.5479727646414097e-40
CDH13,0.08532037769768046,8.412537255233891e-41
RP11-1143G9.4,0.08581400817187641,2.950846535242642e-41
WDR11,0.08616954922540487,1.3823276166251302e-41
C1orf186,0.08636395704116098,9.119139754100224e-42
CEBPD,0.0872751758394721,1.2815510220976721e-42
HMGA1,0.08742067359275203,9.350330563016704e-43
TUBA3E,0.08761733516443229,6.101128641965231e-43
CASC3,0.08773307352468256,4.743444329069894e-43
C15orf48,0.08879465766262358,4.641363421888291e-44
GRB7,0.08928649546353856,1.5661148379980374e-44
PVRL4,0.08944832590191078,1.0939708260155363e-44
RP11-53O19.1,0.08947692297599018,1.0266954390142488e-44
GDPD3,0.08967964985603477,6.543096562786491e-45
ARSF,0.08972037063954463,5.976248365952773e-45
MT1G,0.0900037410795884,3.177362347191108e-45
CTSD,0.0901656726311245,2.21254510277577e-45
SPTSSB,0.0904140274494225,1.2684707803749892e-45
IGLV3-9,0.09096919329632529,3.637210963713499e-46
S100A4,0.09097790512896733,3.56638789853548e-46
KRT16,0.09146457349379837,1.1853753700756063e-46
CCL4,0.09175274007558491,6.157289648208626e-47
G0S2,0.09178886992137918,5.671005537957899e-47
C5orf46,0.09202015235538441,3.3466059793694675e-47
SSUH2,0.09235869735851328,1.5426660000816613e-47
SECTM1,0.09361725260297998,8.453241069047012e-49
ELF5,0.09367688325957405,7.35932322015314e-49
BCL2L14,0.09382395744129383,5.226732609896476e-49
ARPC1B,0.09397428333087136,3.682087123618696e-49
ARL14,0.0956815845617723,6.621934723395078e-51
CA2,0.09576421869056802,5.441468759368939e-51
SGK1,0.0964367187623364,1.0939825016274128e-51
TRIB1,0.09661863802198752,7.074518754720929e-52
FAM3D,0.09751424872735377,8.17386046358358e-53
MSMB,0.0978238575828931,3.8581931759954134e-53
CD81,0.09893790508890299,2.5383746787400542e-54
CD83,0.09910317095592913,1.6907594420288932e-54
FMO3,0.09918691169829733,1.3757774446891358e-54
FAM167B,0.09919169682523923,1.3596581454705695e-54
RNF152,0.09958852109788932,5.1061481746908225e-55
SOX8,0.10037914890262549,7.170263414757265e-56
CTSS,0.10064642359600935,3.6794340905081323e-56
CCDC74A,0.1009789697699512,1.6002082032427086e-56
SPINK8,0.10103200002439884,1.4008792543163697e-56
CYP24A1,0.10116882985139021,9.935379131994484e-57
STEAP4,0.10142996461935025,5.150423137439807e-57
SPP1,0.10176914423939076,2.188312795801917e-57
PRELP,0.1021425091840857,8.500718295816956e-58
PI3,0.10264856864134977,2.346507890618908e-58
C8orf4,0.10275695177725974,1.7796280649405752e-58
RERGL,0.10292006943500992,1.1731303825038449e-58
HSPB6,0.10345293667923748,2.9928760067566173e-59
CTSC,0.10347397753351979,2.835303365802208e-59
RARRES1,0.1045748266998657,1.647765396021594e-60
MRPS30,0.10501960726581476,5.174461151346112e-61
SPARCL1,0.10509908357939753,4.2048662494905166e-61
TM7SF2,0.10516642060441914,3.5265417406499974e-61
CITED4,0.10556922321825525,1.2282206189419375e-61
LDHB,0.10571238802204379,8.434107876266839e-62
AHNAK2,0.10582857108565896,6.214433100937976e-62
FGF7,0.10613470072339926,2.7746444808817563e-62
PALM3,0.1061370434790401,2.7575500867134853e-62
ZNF703,0.10686576108018601,4.0064600672329233e-63
SLPI,0.10704652591787543,2.477678094783678e-63
PNMT,0.10708110407086022,2.259847722705224e-63
ACAN,0.10770010277530492,4.329284319720864e-64
ERBB2,0.10797571622988339,2.067848458446671e-64
S100B,0.10800064488363657,1.9339849860681893e-64
THRSP,0.10831662386393465,8.268857864933859e-65
NOV,0.10892531565173895,1.5977577735518606e-65
LY6D,0.1092486699986731,6.646506469803264e-66
DNAJC12,0.10941212460630528,4.261904405276343e-66
CTB-131K11.1,0.10961526858794338,2.451002907763081e-66
CKMT1A,0.1096969297009572,1.961710105446681e-66
PCAT1,0.11004570564815087,7.564218354045699e-67
SERPINB7,0.11031560901219492,3.6105105459718246e-67
BEX1,0.11044312320685418,2.5441527964632636e-67
CNTD2,0.11062562640260405,1.5404495506430168e-67
BCL2A1,0.11098778067211602,5.67775346833454e-68
ORMDL3,0.11134043983112062,2.141331394972424e-68
ADARB2-AS1,0.11217339609412146,2.113438642962665e-69
SERPINE2,0.11223157849281724,1.796619142296165e-69
FBXO2,0.11233552512997415,1.343848583257339e-69
CITED1,0.1128751470501661,2.963336725855966e-70
MMP3,0.11293762496218897,2.4863120326114023e-70
SLC38A10,0.11342185964922934,6.357888369243704e-71
S100A1,0.11347194487866433,5.519614653491379e-71
AC006262.5,0.11380947444992313,2.1250975124726342e-71
IL1RN,0.11381251184525377,2.1068947838755603e-71
FABP3,0.11438090942381232,4.1948821037334607e-72
A2ML1,0.11472721990849627,1.5628528546461625e-72
CT83,0.1152564460814692,3.436167517486795e-73
GNG4,0.11564627399053765,1.1208045166642037e-73
PCDH11X,0.11585036379337793,6.224955595843791e-74
DKK1,0.11616857440784684,2.483229050487792e-74
ITGB2,0.11624851643221956,1.9704834788817396e-74
MUC5B,0.1162699015810743,1.852214336114056e-74
SOSTDC1,0.11686628747162729,3.2808587624447617e-75
PI15,0.11711401038132492,1.5943901351358093e-75
RGS16,0.1173364711463071,8.32880521887464e-76
BRI3,0.11740829573662873,6.751719407627463e-76
RARRES2,0.11770283265953371,2.8507336418693633e-76
CDH11,0.11776698817217787,2.3619228663274887e-76
FABP4,0.11798108875899764,1.2598427586585663e-76
FLT1,0.11805246783199486,1.0214214830490923e-76
HYAL2,0.11841249906149395,3.53823386053718e-77
SLCO4A1-AS1,0.11909302997640102,4.727011553128347e-78
TMEM176B,0.12031967255155224,1.2187422903175002e-79
LDLRAD1,0.12067655573618911,4.174152032728474e-80
OBP2B,0.1210366691901472,1.4111788489230853e-80
PLA2G7,0.12107331098740637,1.2635089302216883e-80
KRT18,0.12150166912779026,3.4617056570670886e-81
ST8SIA6-AS1,0.12214777006888644,4.867778871373518e-82
C19orf33,0.12250426318445871,1.6416127664237758e-82
RAPGEFL1,0.12268300696640105,9.50717395436753e-83
PRAME,0.12305693194998313,3.0244829565656017e-83
TPPP3,0.12361244160634134,5.480727283551224e-84
PTHLH,0.12374836216303013,3.604222698043112e-84
AC018816.3,0.1239362691231679,2.0175588631472982e-84
CRABP2,0.12411278497378528,1.168850861480645e-84
GJA1,0.12415528321257094,1.0247802235810968e-84
BCAS1,0.12542858790513772,1.948392341435621e-86
CLDN10,0.1258816742148345,4.709247672775317e-87
ACSBG1,0.12593522013725345,3.9803002046998304e-87
NR2F2,0.1263514054460264,1.074381617319495e-87
RP11-662G23.1,0.12714859299431083,8.636566767369184e-89
FGFR2,0.12770870099218698,1.4550682782916717e-89
TMEM150C,0.128164462867405,3.395771805970625e-90
SLC9A3R2,0.12822265352891934,2.8189443974956848e-90
ACSM1,0.12836315810906035,1.7976671625401522e-90
PPP1R1B,0.12859068250463468,8.666839196123905e-91
IGHV2-26,0.1287725083972163,4.833219891495333e-91
IFI27,0.1292499399970485,1.0387819302647579e-91
CD74,0.12975908081040996,2.0029178099501964e-92
