gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
LYPD1,2.847481,1.3497881,0.004406670903946635,0.0163554544984453
NT5C3A,2.8451064,-0.07379854,0.0044396579843251766,0.01647583011082632
HSF1,2.8446667,0.03269609,0.004445789881949961,0.016496526963686284
CPED1,2.841822,0.76246595,0.004485654824461022,0.016642372709720434
DUS2,2.8415663,0.5257833,0.004489252390131058,0.016651564535400044
JAK2,2.841441,0.33700824,0.004491016151447204,0.01665602884258198
UBAP2L,2.8405232,-0.098598786,0.00450395756518866,0.016701941916407385
TFCP2,2.8399098,0.010395935,0.004512628040215748,0.016732007671746454
SYNPO,2.8386703,1.4728839,0.00453019579639645,0.016792957438505878
ZNF74,2.837888,0.36072493,0.00454131163489946,0.016832064178567144
SEMA5A,2.8372412,1.7351228,0.004550520833447557,0.016864095218857813
ECD,2.8366075,-0.035637073,0.004559564446702967,0.01689550469763451
UBD,2.8347516,1.8079437,0.004586132557890423,0.01698971833338599
USP21,2.8335042,0.07898412,0.00460406972697972,0.0170519189327713
NAA40,2.833039,0.07145748,0.0046107756584796294,0.017074628553191532
NBPF26,2.8320422,0.3894873,0.004625175305746771,0.017125820344429485
PKIA,2.831122,0.70144963,0.0046385034194955255,0.017173032271430765
ATG10,2.831063,0.015672712,0.004639356118628322,0.017174050731471106
COMMD9,2.830051,-0.110196926,0.004654059650249305,0.017224191633166866
FAHD1,2.8294501,-0.17162952,0.0046628051671571726,0.017254410209718008
DNA2,2.8282948,0.5225659,0.004679668175705385,0.017314655782509732
RNF20,2.8280597,-0.15651873,0.004683107224699805,0.017325224226950268
GCH1,2.8272853,0.24691953,0.004694449841135119,0.01736502576840887
SLC2A4RG,2.8269453,-0.1313358,0.004699436463006606,0.017381309162156414
AP1B1,2.8256314,-0.20094213,0.004718753176818712,0.017444074127359287
SEPT4,2.824292,1.2867434,0.004738519659521892,0.017510614595645593
CPT1A,2.8224976,-0.0032677306,0.004765118165708057,0.01760453012189335
RASA3,2.822403,0.96804535,0.004766523822758652,0.017607535448140515
LIN9,2.8219147,0.21992052,0.004773786022957615,0.017629981346490967
PRPF39,2.8195658,-0.10698379,0.004808868427426005,0.017752928352701442
TMEM5,2.8194175,-0.10563996,0.004811090357862061,0.01775892608445843
ZFYVE28,2.819333,0.8586813,0.004812354974268907,0.017761389082663535
TXNDC5,2.8186097,0.8180616,0.004823212374514249,0.017799252020780955
AHCYL2,2.8181727,0.17592704,0.004829783590986423,0.017821290085728383
REPIN1,2.8179145,-0.14742312,0.0048336686399979845,0.01783341229346818
MPI,2.8176358,-0.08906899,0.004837864587900098,0.01784667838610839
RIPK4,2.816667,0.33051416,0.004852479831701983,0.0178983727621877
MICU3,2.8152688,3.8695202,0.004873644036988579,0.017974207163455894
SLC22A18AS,2.8145173,0.51880467,0.004885053784686154,0.01801196171913853
LRP11,2.8143358,-0.023388263,0.00488781281980605,0.018019756797432524
RP11-796E2.4,2.8121862,0.6954443,0.004920601191187374,0.01813475603439253
ZNF519,2.8121707,0.28717962,0.0049208358283886235,0.01813475603439253
SHC3,2.812038,2.2701843,0.004922869774756043,0.018138620370493512
CXCL12,2.8120227,1.447398,0.004923104509799974,0.018138620370493512
ENO2,2.8114603,0.15036874,0.004931718455513736,0.018168106162531276
ZNF561,2.8101566,-0.03955656,0.004951739599954367,0.018237343431864634
PCDH10,2.8095176,0.5844636,0.004961580709841458,0.018266800302837553
ZNF785,2.8091342,0.07201747,0.00496749386245078,0.018286306179552934
HIST3H2A,2.8085668,-0.038322203,0.004976257024572497,0.018316297364646458
TET3,2.808196,0.26594123,0.004981988256459926,0.01833512276634769
SPSB2,2.8073936,0.047984086,0.004994419801461525,0.01837859949961083
TMEM37,2.80689,0.95613366,0.0050022335229357034,0.018405074784982958
CENPO,2.8063147,0.3906986,0.0050111713447099976,0.01843567898939153
TRIM21,2.8057652,0.4276936,0.005019725418646977,0.018464864019872643
CANT1,2.80564,-0.081340775,0.0050216767981596565,0.01846975708061369
NRM,2.8052437,-0.059161868,0.005027854046409238,0.018490189778835604
KIAA0895L,2.8034775,0.13461669,0.00505547628596584,0.018589472719592177
EXO1,2.8007731,0.45879942,0.0050980349894813315,0.018743647130239696
PLCD3,2.7978718,0.40125048,0.005144050882741801,0.01890815488893089
SLC26A4,2.7966807,2.5871146,0.005163052201097543,0.018975652792983095
MED27,2.7958398,0.058105696,0.005176505467849603,0.019022745899835897
AC016995.3,2.795694,2.5861442,0.005178839493774744,0.01902897116515132
SREK1IP1,2.794894,-0.18145716,0.005191673119000627,0.01907376953506063
UBE4A,2.794802,-0.18573132,0.005193151032046223,0.019076842060270615
PSMC3IP,2.7941246,0.2519676,0.005204041817900907,0.019114487383773648
TOMM40L,2.793818,0.3275165,0.005208980279249296,0.019130263172297345
ZCCHC4,2.7936926,0.2838219,0.005210998034841502,0.019135309938241616
FOXRED1,2.792601,-0.14301842,0.005228611246174336,0.01919761647104242
SLC16A7,2.7907505,0.9150577,0.005258598278921726,0.01930295094162712
ZBTB40,2.7905664,0.31270313,0.005261588891880156,0.01930916101237629
MFF,2.7898788,0.047622237,0.005272775751935134,0.019347826907600563
MPG,2.7894597,0.08358716,0.00527960653147274,0.01937050111059711
CPEB2,2.7890048,0.018122148,0.005287029471380467,0.019395342044732318
FUK,2.788634,0.33235273,0.005293083214105568,0.019415154602146663
RABGGTB,2.787857,-0.023399739,0.005305795526466282,0.019459383050255578
AFAP1L1,2.7876678,1.5204394,0.005308894141154049,0.019468346016148663
HIVEP3,2.7871132,-0.095845856,0.0053179900452891655,0.019499296832726942
