gene_symbol,ig_mean,n_cells,ig_rank
SCGB2A1,0.01840020201724166,26,222
CALM1,0.018360971508977506,13,223
PABPC1,0.018347717288826757,85,224
HSPB1,0.018304735295447138,68,225
HSPA1B,0.01827376466244459,25,226
CTSC,0.018254578263232752,14,227
CNN3,0.018250941842173535,12,228
MT1X,0.01820006893065415,19,229
HLA-E,0.018198102119971405,11,230
ATOX1,0.01818405840869831,23,231
TMSB4X,0.018178027821704745,24,232
MRPL52,0.01808807255852466,13,233
MDK,0.01807205723943534,27,234
HMGB1,0.018008985461629167,49,235
C12orf57,0.017850031384215172,36,236
RASD1,0.017746935391591653,18,237
H1-0,0.017715410231367537,19,238
KRTCAP2,0.01770888175815344,25,239
FKBP8,0.017692256233810138,12,240
PLPP2,0.01764404237474082,16,241
FABP5,0.017630302923775855,21,242
PLEKHF2,0.017608192446641625,10,243
CD9,0.017601422465164572,52,244
PRDX1,0.0175613698953677,87,245
CLDN4,0.01754729272797704,65,246
RAB11FIP1,0.017502249980514698,22,247
PRKRA,0.017500240131854437,13,248
S100A1,0.017474396762231156,27,249
MT-ND5,0.017470412622687632,58,250
S100A14,0.017441081131498018,30,251
SELENOM,0.017339638195227127,37,252
RPS16,0.01731389804211046,70,253
NACA,0.017210240063902277,52,254
MARCKSL1,0.017154169015287022,56,255
COX5B,0.017148824975204965,30,256
RPL13,0.017117712335030157,62,257
HSPE1,0.01708027322144647,56,258
GADD45GIP1,0.016986524198728148,32,259
RPLP0,0.01697501175571233,100,260
UQCRHL,0.01694089631739728,27,261
UBC,0.016911965779339275,30,262
HES4,0.016894051525741815,10,263
YBX1,0.01671036286585915,76,264
TRPS1,0.016699527099262923,16,265
FSCN1,0.016677002289465497,35,266
CCT3,0.01666018721317091,62,267
KLF6,0.016654765106634134,45,268
RHOB,0.016616457915995596,57,269
RPS19,0.01648681765830476,73,270
CENPW,0.01640816908911802,16,271
COX7A2,0.016362652439167912,49,272
RPS28,0.016280221765757434,36,273
LRRC26,0.016271168051753195,10,274
PDIA6,0.01624939442965491,58,275
ATP1A1,0.016180075305913175,14,276
RPL27A,0.016051734736677082,42,277
HMGN2,0.016018989665264435,33,278
ATP5MF,0.0160102681857684,31,279
HMGA1,0.015996269162537324,45,280
CCNO,0.015994318760931492,11,281
ELF3,0.015907629613171926,55,282
OCIAD2,0.015788273862563075,10,283
ALDOA,0.015761262525793636,87,284
CTSB,0.015756888972485766,17,285
HSD17B10,0.015750293037854135,19,286
GLUL,0.015742791838766562,21,287
IER3,0.015683955768303524,31,288
MT-CO1,0.015600031115844524,104,289
MAP1LC3B,0.015531473094597459,12,290
CSTB,0.015469806260873818,88,291
SRSF3,0.015443631261587144,10,292
BLVRB,0.015433003266270343,13,293
ATP6V0E1,0.01541983156154553,15,294
NINJ1,0.015398782586479294,14,295
ADIRF,0.015396394320608428,12,296
ARLN,0.015393075694899179,18,297
ATP5MK,0.01538609026465565,38,298
RND1,0.015374023409094661,12,299
YWHAQ,0.015303940077992304,63,300
MIEN1,0.015276445847121067,24,301
JUN,0.015164426870971047,47,302
SDCBP,0.015124820390095313,15,303
IFI6,0.015038456205123415,12,304
CDK6,0.014965408854186535,10,305
PPA2,0.014893170911818743,10,306
MACROH2A1,0.014864242170006037,18,307
CRIP2,0.014813006803421165,67,308
ACTB,0.014767599186978177,67,309
HID1,0.014763888297602534,10,310
FAU,0.01474707182901709,23,311
FLYWCH2,0.014723966399946347,29,312
CDKN1A,0.014651209761557931,22,313
ZFP36L1,0.014634551065973937,50,314
PRPF40A,0.01458774542476496,23,315
NHERF1,0.014555050487009188,24,316
THRAP3,0.01453694268129766,10,317
DNAJB1,0.014340382821079934,41,318
HIGD2A,0.014321018578758574,17,319
MAGED2,0.014315271284431219,12,320
PYURF,0.014256784933968447,20,321
SELENOH,0.014252794953316206,46,322
IRF1,0.01422769365100456,14,323
DBN1,0.014186502550728619,11,324
RPS20,0.014154665399639105,44,325
RWDD1,0.014122271118038852,18,326
MT-ND3,0.014118381473235787,40,327
CCNC,0.014079926444710941,21,328
MAD2L2,0.014076902315719054,10,329
TUBA1A,0.014065025801149508,12,330
CIAO2B,0.014060397797852363,19,331
TMEM59,0.01392514809138245,45,332
MYL12A,0.013858127882704139,25,333
RPS5,0.01382871167973066,78,334
RPS2,0.013788938131377411,60,335
B2M,0.013784690819776211,39,336
ANAPC11,0.013757077957373387,68,337
SNRPD2,0.013753708557591641,35,338
EIF5,0.013736775139873118,46,339
SLIRP,0.013715041708885966,17,340
ATP5MC1,0.013709337576680506,36,341
MTCH2,0.013648634059102955,37,342
KLK6,0.013630988808082682,14,343
TIMP1,0.013592174692478563,28,344
NDUFS6,0.01356410117061328,31,345
HNRNPA0,0.013548926266498472,19,346
