gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
GFPT2,0.6261936678597587,0.28215468,8.9910836e-11,2.6215619703554998e-08
TMSB10,0.6260969306670721,0.31897938,2.0063868e-07,1.8082105108357443e-05
FLOT1,0.6257998092895344,0.26772916,5.5072224e-08,6.311658887374989e-06
MCM7,0.6245076767872196,0.26460314,3.584888e-08,4.442348546818131e-06
DNAJB1,0.6239272536310996,0.2906981,2.3968644e-07,2.0572567567480833e-05
LMNA,0.6227664073188596,0.28976262,2.576062e-07,2.1550877239791634e-05
EZH2,0.6193944251737814,0.25704065,2.5300382e-09,4.4392094667479146e-07
GADD45A,0.61684470916654,0.27158958,7.364985e-07,5.2716809287484786e-05
ITGA7,0.6164577603957934,0.25746995,3.4803202e-07,2.782431778039227e-05
CA12,0.6141706167687013,0.28995615,5.5564307e-08,6.325458398350748e-06
SMYD2,0.6104531446497423,0.2978481,3.8215004e-09,6.418626282914982e-07
TPM4,0.6078550600461574,0.2672925,3.0740155e-06,0.00015955105933370526
VEGFA,0.6067840411271265,0.25440517,3.068678e-07,2.483374673887534e-05
NT5E,0.6067494921297384,0.27138948,1.39914835e-08,1.9264523881679096e-06
HSPA5,0.604199776122497,0.26822132,1.1481021e-05,0.0004355949654823884
VOPP1,0.603653901963765,0.25115162,8.870706e-06,0.0003589377158463396
ADIPOR1,0.6033153217893616,0.25555098,1.4467367e-06,8.825984452589462e-05
TRIB1,0.6025759732452565,0.3064344,1.0189254e-07,1.0151876220067867e-05
CCL2,0.6020784676828679,0.26740873,7.830649e-08,8.1287058431372e-06
GEM,0.5982366191733116,0.2791913,6.5086615e-06,0.00029064691790842297
GBP1,0.5968062906814444,0.2530306,2.8808336e-06,0.0001515073927052752
TAGLN,0.595217036801592,0.30260283,3.852406e-09,6.418626282914982e-07
FN1,0.5883417863213609,0.30134147,1.2128686e-05,0.0004486482316288762
CTGF,0.5851770981606114,0.28290778,2.1125055e-07,1.8533029558018793e-05
LTF,0.5533989303630409,0.29534763,2.6332209e-05,0.0008081868547896793
